step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,replica_1,replica_2,replica_3,replica_4,replica_5
124,2.3389018563e+02,3.4135397764e+02,7.1704505392e-01,1.6288229420e+00,2.5887760520e-01,2.3930783570e-01,8.7862921143e+02,2.4369728565e-01,2.9007983398e+02
125,2.3387424636e+02,3.4132154616e+02,7.1736086433e-01,1.6285489966e+00,2.5893172622e-01,2.3978325725e-01,8.7854321289e+02,2.4406833947e-01,2.9008523560e+02
126,2.3396731314e+02,3.4149200894e+02,7.1735739803e-01,1.6286575104e+00,2.5884756446e-01,2.3967625201e-01,8.7899304199e+02,2.4410878122e-01,2.9010089111e+02
127,2.3466524874e+02,3.4280091802e+02,7.1750973505e-01,1.6292948662e+00,2.5872188807e-01,2.3934948444e-01,8.8245440674e+02,2.4400484562e-01,2.9012976074e+02
128,2.3493885809e+02,3.4330795039e+02,7.1743097319e-01,1.6296646381e+00,2.5882327557e-01,2.3912495375e-01,8.8379309082e+02,2.4352239072e-01,2.9015972900e+02
129,2.3494886908e+02,3.4330905559e+02,7.1762569389e-01,1.6295331568e+00,2.5876152515e-01,2.3944684863e-01,8.8379187012e+02,2.4375666678e-01,2.9021051025e+02
130,2.3494695131e+02,3.4330454467e+02,7.1780759478e-01,1.6293830656e+00,2.5883829594e-01,2.3969478905e-01,8.8377996826e+02,2.4394440651e-01,2.9021231079e+02
131,2.3504128169e+02,3.4348254276e+02,7.1768359447e-01,1.6295856416e+00,2.5862482190e-01,2.3936432600e-01,8.8425054932e+02,2.4400281906e-01,2.9021386719e+02
132,2.3563500461e+02,3.4460447322e+02,7.1777125639e-01,1.6301517940e+00,2.5870487094e-01,2.3909048736e-01,8.8721752930e+02,2.4363395572e-01,2.9021606445e+02
133,2.3562601723e+02,3.4458680964e+02,7.1767551046e-01,1.6302210820e+00,2.5867551565e-01,2.3908817768e-01,8.8717053223e+02,2.4340645969e-01,2.9021838379e+02
134,2.3565282511e+02,3.4463479758e+02,7.1798835912e-01,1.6299957263e+00,2.5869986415e-01,2.3955680430e-01,8.8729718018e+02,2.4374361336e-01,2.9022494507e+02
135,2.3564600982e+02,3.4461568164e+02,7.1793888387e-01,1.6300351591e+00,2.5863316655e-01,2.3940302432e-01,8.8724505615e+02,2.4382320046e-01,2.9024313354e+02
136,2.3563718642e+02,3.4458515068e+02,7.1779457948e-01,1.6301578953e+00,2.5853449106e-01,2.3909901083e-01,8.8716076660e+02,2.4381005764e-01,2.9028372192e+02
137,2.3567551597e+02,3.4465037339e+02,7.1758486531e-01,1.6303788295e+00,2.5863236189e-01,2.3889140785e-01,8.8733117676e+02,2.4327628314e-01,2.9030560303e+02
