step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,clean_loss_mean,clean_loss_std,log10_clean_loss_mean,log10_clean_loss_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,clean_loss_replica_1,cosine_similarity_replica_1
77,1.1605848074e+05,0.0000000000e+00,5.0646768811e+00,0.0000000000e+00,1.1605848074e+05,0.0000000000e+00,5.0646768811e+00,0.0000000000e+00,6.5357106924e-01,0.0000000000e+00,1.1605848074e+05,1.1605848074e+05,6.5357106924e-01
78,1.1837432384e+05,0.0000000000e+00,5.0732575113e+00,0.0000000000e+00,1.1837433577e+05,0.0000000000e+00,5.0732575551e+00,0.0000000000e+00,6.4322531223e-01,0.0000000000e+00,1.1837432384e+05,1.1837433577e+05,6.4322531223e-01
79,1.2051212788e+05,0.0000000000e+00,5.0810307548e+00,0.0000000000e+00,1.2051213980e+05,0.0000000000e+00,5.0810307978e+00,0.0000000000e+00,6.3330298662e-01,0.0000000000e+00,1.2051212788e+05,1.2051213980e+05,6.3330298662e-01
80,1.2248044014e+05,0.0000000000e+00,5.0880667384e+00,0.0000000000e+00,1.2248044014e+05,0.0000000000e+00,5.0880667384e+00,0.0000000000e+00,6.2379246950e-01,0.0000000000e+00,1.2248044014e+05,1.2248044014e+05,6.2379246950e-01
81,1.2428901196e+05,0.0000000000e+00,5.0944327356e+00,0.0000000000e+00,1.2428902388e+05,0.0000000000e+00,5.0944327772e+00,0.0000000000e+00,6.1467933655e-01,0.0000000000e+00,1.2428901196e+05,1.2428902388e+05,6.1467933655e-01
82,1.2594847679e+05,0.0000000000e+00,5.1001929196e+00,0.0000000000e+00,1.2594848871e+05,0.0000000000e+00,5.1001929607e+00,0.0000000000e+00,6.0594785213e-01,0.0000000000e+00,1.2594847679e+05,1.2594848871e+05,6.0594785213e-01
83,1.2747051716e+05,0.0000000000e+00,5.1054097478e+00,0.0000000000e+00,1.2747051716e+05,0.0000000000e+00,5.1054097478e+00,0.0000000000e+00,5.9758144617e-01,0.0000000000e+00,1.2747051716e+05,1.2747051716e+05,5.9758144617e-01
84,1.2886748314e+05,0.0000000000e+00,5.1101433466e+00,0.0000000000e+00,1.2886748314e+05,0.0000000000e+00,5.1101433466e+00,0.0000000000e+00,5.8956205845e-01,0.0000000000e+00,1.2886748314e+05,1.2886748314e+05,5.8956205845e-01
85,1.3015245199e+05,0.0000000000e+00,5.1144523544e+00,0.0000000000e+00,1.3015246391e+05,0.0000000000e+00,5.1144523941e+00,0.0000000000e+00,5.8187216520e-01,0.0000000000e+00,1.3015245199e+05,1.3015246391e+05,5.8187216520e-01
86,1.3133887053e+05,0.0000000000e+00,5.1183932772e+00,0.0000000000e+00,1.3133890629e+05,0.0000000000e+00,5.1183933954e+00,0.0000000000e+00,5.7449352741e-01,0.0000000000e+00,1.3133887053e+05,1.3133890629e+05,5.7449352741e-01
87,1.3244057894e+05,0.0000000000e+00,5.1220210705e+00,0.0000000000e+00,1.3244057894e+05,0.0000000000e+00,5.1220210705e+00,0.0000000000e+00,5.6740850210e-01,0.0000000000e+00,1.3244057894e+05,1.3244057894e+05,5.6740850210e-01
88,1.3347145319e+05,0.0000000000e+00,5.1253883889e+00,0.0000000000e+00,1.3347146511e+05,0.0000000000e+00,5.1253884277e+00,0.0000000000e+00,5.6059992313e-01,0.0000000000e+00,1.3347145319e+05,1.3347146511e+05,5.6059992313e-01
89,1.3444553614e+05,0.0000000000e+00,5.1285463873e+00,0.0000000000e+00,1.3444553614e+05,0.0000000000e+00,5.1285463873e+00,0.0000000000e+00,5.5405116081e-01,0.0000000000e+00,1.3444553614e+05,1.3444553614e+05,5.5405116081e-01
90,1.3537659645e+05,0.0000000000e+00,5.1315435912e+00,0.0000000000e+00,1.3537660837e+05,0.0000000000e+00,5.1315436294e+00,0.0000000000e+00,5.4774630070e-01,0.0000000000e+00,1.3537659645e+05,1.3537660837e+05,5.4774630070e-01
91,1.3627814054e+05,0.0000000000e+00,5.1344261992e+00,0.0000000000e+00,1.3627815247e+05,0.0000000000e+00,5.1344262372e+00,0.0000000000e+00,5.4167044163e-01,0.0000000000e+00,1.3627814054e+05,1.3627815247e+05,5.4167044163e-01
92,1.3716315031e+05,0.0000000000e+00,5.1372374513e+00,0.0000000000e+00,1.3716317415e+05,0.0000000000e+00,5.1372375268e+00,0.0000000000e+00,5.3580945730e-01,0.0000000000e+00,1.3716315031e+05,1.3716317415e+05,5.3580945730e-01
93,1.3804441690e+05,0.0000000000e+00,5.1400188466e+00,0.0000000000e+00,1.3804441690e+05,0.0000000000e+00,5.1400188466e+00,0.0000000000e+00,5.3015017509e-01,0.0000000000e+00,1.3804441690e+05,1.3804441690e+05,5.3015017509e-01
94,1.3893375397e+05,0.0000000000e+00,5.1428077704e+00,0.0000000000e+00,1.3893376589e+05,0.0000000000e+00,5.1428078077e+00,0.0000000000e+00,5.2468061447e-01,0.0000000000e+00,1.3893375397e+05,1.3893376589e+05,5.2468061447e-01
95,1.3984247446e+05,0.0000000000e+00,5.1456391000e+00,0.0000000000e+00,1.3984247446e+05,0.0000000000e+00,5.1456391000e+00,0.0000000000e+00,5.1938939095e-01,0.0000000000e+00,1.3984247446e+05,1.3984247446e+05,5.1938939095e-01
96,1.4078115225e+05,0.0000000000e+00,5.1485445154e+00,0.0000000000e+00,1.4078117609e+05,0.0000000000e+00,5.1485445890e+00,0.0000000000e+00,5.1426607370e-01,0.0000000000e+00,1.4078115225e+05,1.4078117609e+05,5.1426607370e-01
97,1.4175971746e+05,0.0000000000e+00,5.1515528390e+00,0.0000000000e+00,1.4175971746e+05,0.0000000000e+00,5.1515528390e+00,0.0000000000e+00,5.0930118561e-01,0.0000000000e+00,1.4175971746e+05,1.4175971746e+05,5.0930118561e-01
98,1.4278727770e+05,0.0000000000e+00,5.1546895137e+00,0.0000000000e+00,1.4278727770e+05,0.0000000000e+00,5.1546895137e+00,0.0000000000e+00,5.0448602438e-01,0.0000000000e+00,1.4278727770e+05,1.4278727770e+05,5.0448602438e-01
99,1.4387217760e+05,0.0000000000e+00,5.1579768170e+00,0.0000000000e+00,1.4387218952e+05,0.0000000000e+00,5.1579768530e+00,0.0000000000e+00,4.9981239438e-01,0.0000000000e+00,1.4387217760e+05,1.4387218952e+05,4.9981239438e-01
100,1.4502215385e+05,0.0000000000e+00,5.1614343509e+00,0.0000000000e+00,1.4502217770e+05,0.0000000000e+00,5.1614344223e+00,0.0000000000e+00,4.9527284503e-01,0.0000000000e+00,1.4502215385e+05,1.4502217770e+05,4.9527284503e-01
