step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,mse_mean,mse_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,mse_replica_1,cosine_similarity_replica_1
510,1.4980717468e+02,0.0000000000e+00,2.1755326134e+00,0.0000000000e+00,1.4980716705e+00,0.0000000000e+00,4.3673727661e-02,0.0000000000e+00,1.4980717468e+02,1.4980716705e+00,4.3673727661e-02
515,1.4938629150e+02,0.0000000000e+00,2.1743107461e+00,0.0000000000e+00,1.4938628674e+00,0.0000000000e+00,4.4112935662e-02,0.0000000000e+00,1.4938629150e+02,1.4938628674e+00,4.4112935662e-02
520,1.4897753906e+02,0.0000000000e+00,2.1731207960e+00,0.0000000000e+00,1.4897754192e+00,0.0000000000e+00,4.4546402991e-02,0.0000000000e+00,1.4897753906e+02,1.4897754192e+00,4.4546402991e-02
525,1.4856196594e+02,0.0000000000e+00,2.1719076379e+00,0.0000000000e+00,1.4856197834e+00,0.0000000000e+00,4.4971104711e-02,0.0000000000e+00,1.4856196594e+02,1.4856197834e+00,4.4971104711e-02
530,1.4816136169e+02,0.0000000000e+00,2.1707349608e+00,0.0000000000e+00,1.4816135168e+00,0.0000000000e+00,4.5376643538e-02,0.0000000000e+00,1.4816136169e+02,1.4816135168e+00,4.5376643538e-02
535,1.4775285339e+02,0.0000000000e+00,2.1695358767e+00,0.0000000000e+00,1.4775285721e+00,0.0000000000e+00,4.5783933252e-02,0.0000000000e+00,1.4775285339e+02,1.4775285721e+00,4.5783933252e-02
540,1.4735127258e+02,0.0000000000e+00,2.1683538909e+00,0.0000000000e+00,1.4735127687e+00,0.0000000000e+00,4.6198140830e-02,0.0000000000e+00,1.4735127258e+02,1.4735127687e+00,4.6198140830e-02
545,1.4694845581e+02,0.0000000000e+00,2.1671650267e+00,0.0000000000e+00,1.4694845676e+00,0.0000000000e+00,4.6602893621e-02,0.0000000000e+00,1.4694845581e+02,1.4694845676e+00,4.6602893621e-02
550,1.4655221558e+02,0.0000000000e+00,2.1659923885e+00,0.0000000000e+00,1.4655220509e+00,0.0000000000e+00,4.7010533512e-02,0.0000000000e+00,1.4655221558e+02,1.4655220509e+00,4.7010533512e-02
555,1.4616455078e+02,0.0000000000e+00,2.1648420562e+00,0.0000000000e+00,1.4616453648e+00,0.0000000000e+00,4.7398056835e-02,0.0000000000e+00,1.4616455078e+02,1.4616453648e+00,4.7398056835e-02
560,1.4575344849e+02,0.0000000000e+00,2.1636188388e+00,0.0000000000e+00,1.4575345516e+00,0.0000000000e+00,4.7814227641e-02,0.0000000000e+00,1.4575344849e+02,1.4575345516e+00,4.7814227641e-02
565,1.4537001038e+02,0.0000000000e+00,2.1624748214e+00,0.0000000000e+00,1.4537000656e+00,0.0000000000e+00,4.8198640347e-02,0.0000000000e+00,1.4537001038e+02,1.4537000656e+00,4.8198640347e-02
